Age,cell_count
P56,293237
Not mentioned,112544
P105,87484
P49,69029
P30,66054
P20,30329
P2,24881
P63,16664
P700,13677
P0,13240
E13.5,12794
P3,11411
P60,10471
P7,9956
P64,9777
E14.5,7027
P21,6191
